TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950516.0,68.0,18367.0,6.0,EPS,0.0071,19950515.0,19960119.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950517.0,933.0,9514.0,6.0,EPS,0.0089,19950517.0,19960116.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950523.0,308.0,677.0,6.0,EPS,0.0066,19950523.0,19960119.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950524.0,7.0,7932.0,6.0,EPS,0.0083,19950524.0,19960117.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950525.0,407.0,167.0,6.0,EPS,0.0075,19950523.0,19960118.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950525.0,142.0,54.0,6.0,EPS,0.0072,19950524.0,19960117.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950712.0,232.0,740.0,6.0,EPS,0.0078,19950711.0,19960119.0,19950630,19950720.0,0.0075
AAPL,APPLE COMPUTER,19950111.0,114.0,494.0,1.0,EPS,0.0254,19950111.0,19950113.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950113.0,192.0,1830.0,1.0,EPS,0.0314,19950113.0,19950125.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,125.0,146.0,1.0,EPS,0.0424,19950120.0,19950223.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,206.0,7985.0,1.0,EPS,0.0422,19950120.0,19950309.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,118.0,1765.0,1.0,EPS,0.042,19950120.0,19950327.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,28.0,1997.0,1.0,EPS,0.0366,19950120.0,19950420.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,86.0,585.0,1.0,EPS,0.0312,19950120.0,19950421.0,19950930,19951018.0,0.0301
